"#","QUANTITY","PART NUMBER","MANUFACTURER PART NUMBER","DESCRIPTION","CUSTOMER REFERENCE","BACKORDER","UNIT PRICE","EXTENDED PRICE"
"1","2","TC33X-1-103ECT-ND","TC33X-1-103E","TRIMMER 10K OHM 0.15W J LEAD TOP","RV1","0","0.40000","$0.80"
"2","2","2223-SLW-1678105-6A-N-D-ND","SLW-1678105-6A-N-D","16 X 7.8 X 10.5 MM, 6 MM RAISED","SW1","0","1.07000","$2.14"
"3","4","XTEAWT-00-0000-000000F51CT-ND","XTEAWT-00-0000-000000F51","LED XLAMP COOL WHITE 6200K 2SMD","D6","0","0.79000","$3.16"
"4","4","AE10837-ND","V2017B","HEATSINK ANOD ALUM CPU","H1,H2","0","1.05000","$4.20"
"5","2","5399-SL2301SCT-ND","SL2301S","20V 2.4A 140M@4.5V,2.4A 900MW 1.","Q2","0","0.15000","$0.30"
"6","2","MMSZ5233B-FDICT-ND","MMSZ5233B-7-F","DIODE ZENER 6V 500MW SOD123","D2","0","0.15000","$0.30"
"7","2","36-2479-ND","2479","BATTERY HOLDER AAA 3 CELL PC PIN","BT1","0","2.55000","$5.10"
"8","10","P100KDACT-ND","ERA-6AEB104V","RES SMD 100K OHM 0.1% 1/8W 0805","R1","0","0.09700","$0.97"
"9","2","LM555CMX/NOPBCT-ND","LM555CMX/NOPB","IC OSC SGL TIMER 100KHZ 8-SOIC","U1","0","1.70000","$3.40"
"10","10","399-C0805C102K5HACAUTOCT-ND","C0805C102K5HACAUTO","CAP CER 0805 1NF 50V ULTRA STABL","C2","0","0.11200","$1.12"
"11","10","RR12P1.0KDCT-ND","RR1220P-102-D","RES SMD 1K OHM 0.5% 1/10W 0805","R2","0","0.04900","$0.49"
"12","10","4878-S1J-AQ-ND","S1J-AQ","DIODE STANDARD 600V 1A DO214AC","D3, D4","0","0.15900","$1.59"
"13","10","399-C0805C104K5RACTUCT-ND","C0805C104K5RACTU","CAP CER 0.1UF 50V X7R 0805","C1","0","0.02400","$0.24"
"14","10","311-1.60FRCT-ND","RC1206FR-071R6L","RES 1.6 OHM 1% 1/4W 1206","R4","0","0.03300","$0.33"
"15","10","5399-SL2312CT-ND","SL2312","20V 5A 1.25W 50M@1.8V 1.2V@250UA","Q1","0","0.12700","$1.27"
"16","10","13-RT1206FRE075KLCT-ND","RT1206FRE075KL","RES 5K OHM 1% 1/4W 1206","R3","0","0.04100","$0.41"

